dataset,domain,temperature_unit,temperature_semantics,feature,sample_count,pearson_r,spearman_rho,mutual_information_binned,linear_r2,trend_direction
metal_10times_dlm,experiment,unknown,numeric filename; physical meaning and unit unconfirmed,energy_mean_square,375,-0.6055130854101459,-0.6180193066242018,0.3728417156769201,0.3666460966029145,decreasing
metal_10times_dlm,experiment,unknown,numeric filename; physical meaning and unit unconfirmed,dominant_frequency_hz,375,-0.041622363942814045,-0.04181038215740095,0.005396362245020257,0.0017324211801877931,weak_or_flat
metal_10times_dlm,experiment,unknown,numeric filename; physical meaning and unit unconfirmed,dominant_frequency_fraction,375,-0.041622363942814114,-0.04181038215740095,0.005396362245020257,0.0017324211801881262,weak_or_flat
metal_10times_dlm,experiment,unknown,numeric filename; physical meaning and unit unconfirmed,spectral_centroid_hz,375,-0.5658269213601546,-0.6058217555843366,0.3456928167531398,0.3201601049359106,decreasing
metal_10times_dlm,experiment,unknown,numeric filename; physical meaning and unit unconfirmed,spectral_centroid_fraction,375,-0.5658269213601544,-0.6058217555843366,0.3456928167531398,0.32016010493591074,decreasing
metal_10times_dlm,experiment,unknown,numeric filename; physical meaning and unit unconfirmed,spectral_bandwidth_hz,375,0.48107495416496493,0.5408600392350593,0.20452245653464962,0.23143311152482315,increasing
metal_10times_dlm,experiment,unknown,numeric filename; physical meaning and unit unconfirmed,spectral_bandwidth_fraction,375,0.48107495416496504,0.5408600392350593,0.20452245653464962,0.23143311152482293,increasing
silicon,simulation,K,solver case/field temperature tag,peak_time_s,200,0.9986251003784262,0.9986499611934064,1.631068343085876,0.9972520911058221,increasing
silicon,simulation,K,solver case/field temperature tag,peak_time_fraction,200,0.9986217315754735,0.9986045854107986,1.631068343085876,0.9972453627747966,increasing
silicon,simulation,K,solver case/field temperature tag,peak_abs,200,0.9998008221797378,0.9999984999624993,1.9109314032627929,0.9996016840312805,increasing
silicon,simulation,K,solver case/field temperature tag,rms,200,0.9998972748255953,1.0,1.8495807636035966,0.9997945602036525,increasing
silicon,simulation,K,solver case/field temperature tag,energy_mean_square,200,0.9999257164456102,1.0,1.8995343681451007,0.9998514384092678,increasing
silicon,simulation,K,solver case/field temperature tag,dominant_frequency_hz,200,0.21930694597121944,-0.44176177594645055,0.6771696581401078,0.04809553655122334,decreasing
silicon,simulation,K,solver case/field temperature tag,dominant_frequency_fraction,200,0.3506260423284575,-0.12902170937505175,0.18641295197335112,0.122938621558917,decreasing
silicon,simulation,K,solver case/field temperature tag,spectral_centroid_hz,200,-0.8536246652151442,-0.8863331583289583,1.2253717104826198,0.7286750690636683,decreasing
silicon,simulation,K,solver case/field temperature tag,spectral_centroid_fraction,200,0.9925194742975332,0.9976854421360535,1.5452746269544573,0.985094906859852,increasing
silicon,simulation,K,solver case/field temperature tag,spectral_bandwidth_hz,200,-0.23881214815415006,-0.19276681917047928,0.6645762192712585,0.057031242105999747,decreasing
silicon,simulation,K,solver case/field temperature tag,spectral_bandwidth_fraction,200,-0.20700357596536784,-0.16086852171304286,0.6853582074948239,0.04285048046244988,decreasing
