dataset,domain,feature,sample_count,mean,std,q10,median,q90,min,max
metal_10times_dlm,experiment,peak_time_s,375,1.4347595848e-08,2.199987767656757e-08,1.445375e-08,1.5507422e-08,1.6331249800000003e-08,-4.1085937e-07,1.9230859e-08
metal_10times_dlm,experiment,peak_time_fraction,375,0.029565804542755855,0.0009890223640298505,0.029288234470743996,0.02931223400062307,0.030517043144257714,0.020776166643123813,0.03628829092632741
metal_10times_dlm,experiment,dominant_frequency_hz,375,23466.66666661521,67042.14263334054,19999.999999956144,19999.999999956144,19999.999999956144,19999.999999956144,1319999.9999971054
metal_10times_dlm,experiment,dominant_frequency_fraction,375,1.8773333333333332e-05,5.363371410679003e-05,1.6e-05,1.6e-05,1.6e-05,1.6e-05,0.0010559999999999999
metal_10times_dlm,experiment,spectral_centroid_hz,375,675088.3131637066,143736.2082248277,511950.882179686,673861.689986332,845455.9463862462,437818.4174480443,1723757.2465427623
metal_10times_dlm,experiment,spectral_centroid_fraction,375,0.0005400706505321497,0.00011498896658011428,0.0004095607057446468,0.0005390893519902476,0.00067636475711048,0.00035025473395920346,0.0013790057972372335
metal_10times_dlm,experiment,spectral_bandwidth_hz,375,3286806.124803936,82178.0961289552,3193343.6881429516,3274134.748725578,3385813.444371227,3089781.7065237975,3939633.913375537
metal_10times_dlm,experiment,spectral_bandwidth_fraction,375,0.0026294448998489144,6.574247690330832e-05,0.002554674950519963,0.0026193077989862057,0.002708650755502921,0.002471825365224458,0.00315170713070734
silicon,simulation,mean,200,5.88416759965576e-06,6.265836779530582e-05,-7.375994570208005e-05,1.2850517329813994e-05,8.117073180453549e-05,-0.00012445781948105668,9.634943146043709e-05
silicon,simulation,std,200,0.04755341212341519,0.0007408428630103811,0.04653717155734104,0.04755483945355258,0.04857258883696745,0.04626903314863952,0.04879328029808647
silicon,simulation,rms,200,0.04755345410903958,0.0007408209776955554,0.04653723003720979,0.04755486063916234,0.04857261712897952,0.04626919729049845,0.048793290621396784
silicon,simulation,peak_abs,200,0.13632876459673723,0.00092879612339554,0.1350406379827918,0.1363241189337338,0.13757756543314117,0.13471991407517744,0.13789331466194216
silicon,simulation,peak_to_peak,200,0.26901022190069585,0.002112780435151432,0.2660816810854147,0.26902034605008746,0.27188272104225053,0.26533749645059934,0.2725554643979713
silicon,simulation,energy_mean_square,200,0.0022618798134215272,7.04477209961497e-05,0.0021657137930047067,0.0022614648137229748,0.002359299147425347,0.002140838617907069,0.002380785209664087
silicon,simulation,crest_factor,200,2.8672448414994975,0.025152098677907925,2.8324099839984513,2.866670586658263,2.90178771842932,2.826071226306539,2.911654447544148
silicon,simulation,skewness,200,-0.002079908043325212,0.00328977803088879,-0.0064786245613382065,-0.0022631502329046992,0.0022080860794256103,-0.0074596378090642165,0.003966481170974939
silicon,simulation,kurtosis,200,2.744216032869208,0.044666950515165796,2.6816282518592445,2.745528428022163,2.8034469188252933,2.67036055601172,2.8208968593121826
silicon,simulation,zero_crossing_rate,200,0.0161281371974315,0.000157547578351617,0.01592192363539259,0.016125452539845708,0.016352257387326232,0.015826061233545335,0.016400775309378262
silicon,simulation,peak_time_s,200,2.879599239883615e-06,1.642305117689387e-08,2.8571008712081452e-06,2.8796785536250842e-06,2.9019052749272342e-06,2.8516998827667062e-06,2.9079939668174963e-06
silicon,simulation,peak_time_fraction,200,0.14385258605078644,0.0008201973145318454,0.1427289334702192,0.14385651586249618,0.14496658279017147,0.14245932874102302,0.14527077990647155
silicon,simulation,dominant_frequency_hz,200,2738250.0000000056,161088.29100837588,2749999.9999995944,2799999.9999998836,2849999.999999513,2249999.999999793,2850000.0000005267
silicon,simulation,dominant_frequency_fraction,200,0.01629762536457136,0.0009898561871042526,0.016469284817100346,0.016583256847732514,0.01673902151420443,0.013235294117647059,0.016763957491393502
silicon,simulation,spectral_centroid_hz,200,2564012.9842563285,4220.21693713107,2558664.9956380078,2563446.494249884,2570709.4192024106,2557430.9220833112,2573212.3991904
silicon,simulation,spectral_centroid_fraction,200,0.015258695764766182,0.00010858112418682296,0.015119397449252569,0.015259745496839342,0.015401644543841485,0.015039058003733185,0.015443884845177738
silicon,simulation,spectral_bandwidth_hz,200,448796.3227386424,116500.00278760612,300033.3469135734,448520.646848537,613042.8383262525,279935.37876158324,700722.4052674344
silicon,simulation,spectral_bandwidth_fraction,200,0.0026694069509327024,0.0006856468563379412,0.0017749547711139475,0.002672569883954591,0.003605187499462599,0.0016817986107635124,0.004126144002752332
wumu,simulation,mean,1000,-3.129803279575547,45.22525258113505,-72.69437213140343,-4.132071730729859,57.03368357488649,-96.26659168015712,98.57685463398364
wumu,simulation,std,1000,19297.49889709841,297.39232381692915,18846.783079387937,19350.837537712803,19639.90161049027,18717.805175805664,19710.45357357594
wumu,simulation,rms,1000,19297.55148865124,297.43493368051,18846.784143167955,19350.919787662988,19640.119333802904,18717.806146878036,19710.506107955185
wumu,simulation,peak_abs,1000,78015.70285553623,1975.5806839161962,75352.48504561433,77973.33858124526,80763.74414489162,74763.03393191072,81607.91675659837
wumu,simulation,peak_to_peak,1000,153418.44415305316,3881.554136046165,148197.11848765064,153335.7539819669,158852.8596983478,147018.11715985517,160462.5818136942
wumu,simulation,energy_mean_square,1000,372483960.99691916,11447511.203615969,355201272.69497824,374458097.1057738,385734287.6085979,350356266.95210516,388504051.0317387
wumu,simulation,crest_factor,1000,4.042185446004019,0.042376204895625234,3.9979688981108152,4.028633386079045,4.112189883798323,3.9917282149266478,4.140325789182111
wumu,simulation,skewness,1000,0.0002201057631356407,0.0035417274024353526,-0.005083211168777731,0.0003908820217522152,0.004814538027304402,-0.007401430950281789,0.007445658505581135
wumu,simulation,kurtosis,1000,6.513445449198738,0.2026327330020646,6.312791954763723,6.436529667544996,6.867362437548057,6.294372402659634,6.990264864460735
wumu,simulation,zero_crossing_rate,1000,0.03150924472949669,0.0012477577948763483,0.029494822717288986,0.03170731707317073,0.03312693498452012,0.028879720723579815,0.03472868217054263
wumu,simulation,peak_time_s,1000,4.784761210233735e-06,7.948531529214993e-08,4.678047319556754e-06,4.782742681047766e-06,4.896936624907664e-06,4.651992861392029e-06,4.928183849345675e-06
