sample_id,domain,dataset,material,physical_group,temperature_value,temperature_unit,temperature_semantics,channel,amplitude_unit,sample_count,dt_s,sampling_rate_hz,time_start_s,time_end_s,duration_s,mean,std,rms,peak_abs,peak_to_peak,energy_mean_square,crest_factor,skewness,kurtosis,zero_crossing_rate,peak_time_s,peak_time_fraction,dominant_frequency_hz,dominant_frequency_fraction,spectral_centroid_hz,spectral_centroid_fraction,spectral_bandwidth_hz,spectral_bandwidth_fraction,acquisition_batch,acquisition_date
metal/case_032_T0492p965K,simulation,metal,metal,metal/case_032_T0492p965K,492.965,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25213,7.932415817240169e-10,1260649999.9995186,7.932415817237141e-10,2e-05,1.9999206758418278e-05,-12.127150278752149,10951.858479328635,10951.865193610465,46159.7821657486,90625.37936301334,119943351.2190164,4.21478728506256,0.009231317645020625,6.522462185407523,0.003966365222909726,5.226668781977552e-06,0.2613041408852927,2449902.8317591976,0.0038867295946696276,2459940.996596599,0.003902654974176081,376149.74172017083,0.0005967552321743774,,
metal/case_033_T0498p995K,simulation,metal,metal,metal/case_033_T0498p995K,498.995,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25209,7.933674481331904e-10,1260450000.0006557,7.933674481336032e-10,2e-05,1.999920663255187e-05,-12.732067487707273,10953.678981665256,10953.686381256208,46169.8591370752,90644.27387212892,119983245.3389177,4.215006485495184,0.009392154711657028,6.523199419067272,0.003966994604887337,5.227498115752311e-06,0.2613456045699778,2649894.8829843216,0.004204680682268941,2459728.9283575085,0.0039029377259807672,361248.1754865295,0.0005732050862570377,,
metal/case_034_T0505p025K,simulation,metal,metal,metal/case_034_T0505p025K,505.025,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25204,7.935248373275056e-10,1260199999.9998455,7.935248373274084e-10,2e-05,1.9999206475162674e-05,-13.283022427594119,10955.509951690825,10955.518004196858,46179.41500905391,90662.67068452932,120023374.74028152,4.2151740329725556,0.009539009588744067,6.523914634893772,0.003967781613300004,5.228535153150294e-06,0.2613974526842043,2649999.9999996754,0.004205681637835265,2459499.1506005293,0.0039033473267748465,343868.34505258925,0.0005457361451398689,,
metal/case_035_T0511p055K,simulation,metal,metal,metal/case_035_T0511p055K,511.055,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25200,7.936507936509205e-10,1259999999.9997985,7.936507936507937e-10,2e-05,1.999920634920635e-05,-13.77593194753718,10957.350991050485,10957.359650818078,46189.22190988219,90680.7494929599,120063730.51737607,4.215360577895579,0.009670658537641211,6.524608896589585,0.003968411444898607,5.22936507936508e-06,0.26143894598992024,2649999.9999995767,0.004206349206349207,2459301.000847401,0.003903652382298086,329251.5576270491,0.0005226215200430187,,
metal/case_036_T0517p085K,simulation,metal,metal,metal/case_036_T0517p085K,517.085,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25196,7.937767899665725e-10,1259800000.0001411,7.937767899666614e-10,2e-05,1.9999206223210034e-05,-14.206878656444774,10959.201177459592,10959.210385946284,46198.5916547861,90699.5981092504,120104292.2834329,4.215503674792993,0.009785913403958483,6.525284034061462,0.0039690414764834295,5.230195269090332e-06,0.2614804524707283,2400000.0000002687,0.0038101285918399745,2459113.7139584743,0.0039039747800574676,315329.16646098485,0.000500601947072471,,
metal/case_037_T0523p116K,simulation,metal,metal,metal/case_037_T0523p116K,523.116,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25192,7.939028262940492e-10,1259600000.0000198,7.939028262940617e-10,2e-05,1.9999206097173706e-05,-14.572153085748717,10961.059381793897,10961.069068245923,46207.898903677094,90718.06008793035,120145035.11885755,4.21563796523651,0.0098836393748733,6.525942537914633,0.003969671708149736,5.231819625277867e-06,0.2615616688499861,2400000.0000000377,0.003810733566211496,2458939.9809102966,0.003904318801064239,302528.5771011912,0.0004803565847907057,,
metal/case_038_T0529p146K,simulation,metal,metal,metal/case_038_T0529p146K,529.146,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25187,7.940604279982371e-10,1259350000.000529,7.940604279985707e-10,2e-05,1.9999205939572002e-05,-14.868288930894016,10962.924117051904,10962.934199485737,46217.70767848103,90736.82684355101,120185926.26225398,4.215815477634543,0.009962772268630692,6.526587596039213,0.003970459779242436,5.232858220510581e-06,0.26161359485428415,2399904.71653269,0.0038113387327298716,2458795.4934063773,0.003904864403708809,292985.17017263,0.0004652958592488298,,
metal/case_039_T0535p176K,simulation,metal,metal,metal/case_039_T0535p176K,535.176,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25183,7.941865544211144e-10,1259150000.0008233,7.941865544216337e-10,2e-05,1.999920581344558e-05,-15.092101670868812,10964.79386969857,10964.804256187712,46228.05953998072,90755.51135525238,120226932.37651215,4.216040565785119,0.010022336200095157,6.527222952295273,0.003971090461440711,5.233689393638567e-06,0.26165515050432847,2399904.701399282,0.0038119440914866584,2458652.8740788796,0.0039052581091645507,283470.1535886523,0.0004502563691195918,,
metal/case_040_T0541p206K,simulation,metal,metal,metal/case_040_T0541p206K,541.206,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25179,7.943127209181792e-10,1258950000.0000734,7.943127209182255e-10,2e-05,1.9999205687279085e-05,-15.240719822441166,10966.6666519729,10966.677242220418,46237.812495060665,90775.01242115759,120268009.73503524,4.216209839480871,0.010061460304591135,6.527853010322238,0.003971721344030503,5.234520830851106e-06,0.2616967193581698,2399904.6862590755,0.0038125496425734707,2458530.1455721795,0.00390568353877761,276414.66814497777,0.00043911937431186565,,
metal/case_041_T0547p236K,simulation,metal,metal,metal/case_041_T0547p236K,547.236,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25175,7.94438927507431e-10,1258750000.0000267,7.94438927507448e-10,2e-05,1.9999205561072493e-05,-15.311626800917923,10968.540343394594,10968.55103058695,46246.894036771206,90793.21935297642,120309111.71059005,4.216317534358632,0.010079396497100757,6.528482655450986,0.003972352427107333,5.235352532274082e-06,0.2617383014221022,2399904.671115399,0.0038131553860819827,2458428.85522701,0.003906143166199734,272219.16671622655,0.00043252300570601116,,
