run_type,run_label,sample_id,node_id,x_m,y_m,x_norm,y_norm,target_temperature_k,predicted_temperature_k,error_k
transient,??,worker_01_case_0001_T0301p201K,16254,0.04960000142455101,0.0023789764381945133,0.49600000685453405,0.11894882456843908,301.2010192871094,311.82293701171875,10.621917724609375
transient,??,worker_01_case_0001_T0301p201K,30670,0.04969999939203262,0.0025521814823150635,0.4969999865144493,0.1276090769680383,301.2010192871094,311.24896240234375,10.047943115234375
transient,??,worker_01_case_0001_T0301p201K,91646,0.04984999820590019,0.0028119890484958887,0.49849997463077345,0.14059945556743716,301.20098876953125,311.5062255859375,10.30523681640625
transient,??,worker_01_case_0001_T0301p201K,5610,0.050200000405311584,0.0030717968475073576,0.501999996572733,0.15358984580836846,301.20098876953125,311.6905517578125,10.48956298828125
transient,??,worker_01_case_0001_T0301p201K,34600,0.04944999888539314,0.0031583993695676327,0.4944999814853075,0.15791997200816807,301.2009582519531,311.59918212890625,10.398223876953125
transient,??,worker_01_case_0001_T0301p201K,34652,0.050050001591444016,0.003331604413688183,0.5005000084564089,0.1665802244077673,301.2009582519531,311.30322265625,10.102264404296875
transient,??,worker_01_case_0001_T0301p201K,60819,0.050999999046325684,0.003591411979869008,0.5099999828636649,0.17957060300716615,301.200927734375,311.4046630859375,10.2037353515625
transient,??,worker_01_case_0001_T0301p201K,64439,0.049150001257658005,0.003678014501929283,0.49150000525265924,0.18390072920696576,301.200927734375,311.23736572265625,10.03643798828125
transient,??,worker_01_case_0001_T0301p201K,66832,0.0494999997317791,0.0037646170239895582,0.49499998994171635,0.1882308554067654,301.200927734375,311.16766357421875,9.96673583984375
transient,??,worker_01_case_0001_T0301p201K,17668,0.04910000041127205,0.003937822300940752,0.4909999967962504,0.19689111944789706,301.2008972167969,311.732177734375,10.531280517578125
transient,??,worker_01_case_0001_T0301p201K,81208,0.049400001764297485,0.004284232389181852,0.49400001028180107,0.21421162424709553,301.2008972167969,311.271484375,10.070587158203125
transient,??,worker_01_case_0001_T0301p201K,77383,0.04964999854564667,0.004370834678411484,0.49649997805804047,0.2185417388053627,301.20086669921875,311.3831787109375,10.18231201171875
transient,??,worker_01_case_0001_T0301p201K,12434,0.049400001764297485,0.0044574374333024025,0.49400001028180107,0.22287187664669478,301.20086669921875,311.62994384765625,10.4290771484375
transient,??,worker_01_case_0001_T0301p201K,20067,0.04969999939203262,0.004630642477422953,0.4969999865144493,0.231532129046294,301.20086669921875,311.2767333984375,10.07586669921875
transient,??,worker_01_case_0001_T0301p201K,62988,0.049400001764297485,0.004977052565664053,0.49400001028180107,0.24885263384549247,301.2008361816406,311.2430419921875,10.042205810546875
transient,??,worker_01_case_0001_T0301p201K,111095,0.0494999997317791,0.005150257609784603,0.49499998994171635,0.2575128862450917,301.2008361816406,311.78857421875,10.587738037109375
transient,??,worker_01_case_0001_T0301p201K,108085,0.050450000911951065,0.005410065408796072,0.5045000016018748,0.270503276486023,301.2008056640625,311.567626953125,10.3668212890625
transient,??,worker_01_case_0001_T0301p201K,55519,0.04960000142455101,0.005669873207807541,0.49600000685453405,0.2834936667269543,301.2007751464844,311.46307373046875,10.262298583984375
