time_us,time_s,amplitude_raw_residual,amplitude_filtered_residual
24.415599999999998,2.4415599999999997e-05,0.07260684025033892,0.015743972550264235
24.416400000000003,2.4416400000000002e-05,0.017330640717061918,0.015518570912734887
24.4172,2.44172e-05,0.028661998544810552,0.015270724236717171
24.418,2.4418e-05,0.030621601377018415,0.015001361299800727
24.418799999999997,2.4418799999999997e-05,-0.002964866845685199,0.014711499167050794
24.419600000000003,2.4419600000000002e-05,-0.0034438683397215453,0.01440221986188161
24.4204,2.44204e-05,0.000976872369922832,0.014074647990660633
24.4212,2.44212e-05,0.0017699963661891305,0.013729930179166143
24.421999999999997,2.4421999999999998e-05,-0.038378022961505165,0.013369217082476787
24.422800000000002,2.4422800000000003e-05,0.020668423754812815,0.012993648566940469
24.4236,2.4423599999999998e-05,-0.011967185613259601,0.012604342454517099
24.4244,2.4424399999999996e-05,0.015318949680839578,0.012202386983948385
24.425200000000004,2.44252e-05,0.016237559453627926,0.01178883690816951
24.426000000000002,2.4426e-05,-0.018682021872194365,0.011364712948243533
24.426800000000007,2.4426800000000005e-05,-0.003077534601665932,0.010931004174329288
24.427599999999998,2.4427599999999996e-05,0.03290112363038744,0.01048867276325377
24.428400000000003,2.44284e-05,0.020825750552288302,0.010038660460761867
24.4292,2.44292e-05,0.030734269132999148,0.009581895958281274
24.43,2.4429999999999998e-05,0.058322648062367866,0.009119302323475645
24.430799999999998,2.4430799999999997e-05,0.06328109151079353,0.008651803644424496
24.431600000000003,2.44316e-05,-0.0006252961330709406,0.008180330172459817
24.4324,2.44324e-05,0.04777563785385541,0.007705821467285908
24.4332,2.44332e-05,-0.019381909173791567,0.007229227319163277
24.433999999999997,2.4433999999999997e-05,0.03496543396333529,0.006751506476171839
24.434800000000003,2.4434800000000002e-05,0.024860726462595406,0.006273623382792361
24.4356,2.44356e-05,0.015188606138987204,0.005796543237271929
24.4364,2.44364e-05,-0.039717749105454336,0.005321225739774673
24.437199999999997,2.4437199999999997e-05,0.007265734492486242,0.004848617959434498
24.438000000000002,2.4438000000000002e-05,-0.03211344966554386,0.004379646772344691
24.4388,2.44388e-05,0.017399588585158776,0.003915211266090778
24.4396,2.44396e-05,0.06523232602687112,0.0034561753661582493
24.440399999999997,2.4440399999999997e-05,-0.0042948774589233185,0.003003360781342603
24.441200000000002,2.4441200000000002e-05,-0.012620250537022426,0.0025575402795729395
